0	1.081600e-03	5.000000e+00	
1	1.281600e-03	5.000000e+00	
2	1.481600e-03	5.000000e+00	
3	1.681600e-03	5.000000e+00	
4	1.881600e-03	5.000000e+00	
5	2.081600e-03	5.000000e+00	
6	2.281600e-03	5.000000e+00	
7	2.481600e-03	5.000000e+00	
8	2.681600e-03	5.000000e+00	
9	2.881600e-03	5.000000e+00	
10	3.081600e-03	5.000000e+00	
11	3.281600e-03	5.000000e+00	
12	3.481600e-03	5.000000e+00	
13	3.681600e-03	5.000000e+00	
14	3.881600e-03	5.000000e+00	
15	4.081600e-03	5.000000e+00	
16	4.281600e-03	5.000000e+00	
17	4.481600e-03	5.000000e+00	
18	4.681600e-03	5.000000e+00	
19	4.881600e-03	5.000000e+00	
20	5.081600e-03	5.000000e+00	
21	5.281600e-03	5.000000e+00	
22	5.481600e-03	5.000000e+00	
23	5.681600e-03	5.000000e+00	
24	5.881600e-03	5.000000e+00	
25	6.081600e-03	5.000000e+00	
26	6.281600e-03	5.000000e+00	
27	6.481600e-03	5.000000e+00	
28	6.681600e-03	5.000000e+00	
29	6.881600e-03	5.000000e+00	
30	7.081600e-03	5.000000e+00	
31	7.281600e-03	5.000000e+00	
32	7.481600e-03	5.000000e+00	
33	7.681600e-03	5.000000e+00	
34	7.881600e-03	5.000000e+00	
35	8.081600e-03	5.000000e+00	
36	8.281600e-03	5.000000e+00	
37	8.481600e-03	5.000000e+00	
38	8.681600e-03	5.000000e+00	
39	8.881600e-03	5.000000e+00	
40	9.081600e-03	5.000000e+00	
41	9.281600e-03	5.000000e+00	
42	9.481600e-03	5.000000e+00	
43	9.681600e-03	5.000000e+00	
44	9.881600e-03	5.000000e+00	
45	1.008160e-02	5.000000e+00	
46	1.028160e-02	5.000000e+00	
47	1.048160e-02	5.000000e+00	
48	1.068160e-02	5.000000e+00	
49	1.088160e-02	5.000000e+00	
50	1.100000e-02	5.000000e+00	

